TYPE,YEAR,DATE_,HOUR,CCN,ARREST_NUMBER,AGE,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ARREST_PSA,ARREST_DISTRICT,ARREST_BLOCKX,ARREST_BLOCKY,OFFENSE_BLOCKY,OFFENSE_BLOCKX,OFFENSE_PSA,OFFENSE_DISTRICT,ARREST_LATITUDE,ARREST_LONGITUDE,OFFENSE_LATITUDE,OFFENSE_LONGITUDE,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,GLOBALID,OBJECTID
Adult Arrest,2013,2013/11/14 05:00:00+00,6,45bb932cb42f1bba872a8dfcfb2428a10d6fe0598a63f2c72a383f9755a981d9,1057043c3187ebc5c85920edbb441300e1446d3764e70faa68d9e8a530dcda27,37,Out of State,Out of State,WHITE,NOT HISPANIC,MALE,Sex Abuse,Second Degree Sex Abuse- Incompetent,102,1D,398600,136300,,,,,,,,,ADULT_ARRESTS_1,,,JLAY,2023/09/27 21:18:52+00,{80CA3650-32C9-42C6-8412-9250D0E433BF},1
Adult Arrest,2013,2013/11/20 05:00:00+00,15,d558ea651a7b32e88571a453ccdf39376b2ec9dfb11f3c955f7c1d18b5e3e600,ad3f22534b1e2c409d66328bb4ac3904e9bacc768c60919dc74b9b32f548b131,39,602,6D,BLACK,,MALE,Homicide,Murder I,602,6D,405900,137300,,,602,6D,,,,,ADULT_ARRESTS_2,,,JLAY,2023/09/27 21:18:52+00,{F1B2E42E-38B5-49D6-8A60-BF8CF0690A12},2
Adult Arrest,2013,2013/12/03 05:00:00+00,0,85451f87475b042563ddebc20b89b7258f07bca9b55b770a231b2a5cb10f2728,a723e9f1d0b44a6e0cef81994b8e7d3d3da55270e6f871242f04867e50476a71,40,Out of State,Out of State,BLACK,,MALE,Prostitution,Solicting Prostitution,103,1D,399200,137200,,,,,,,,,ADULT_ARRESTS_3,,,JLAY,2023/09/27 21:18:52+00,{7F8BA37F-51F5-437F-A8F4-4B755385797B},3
Adult Arrest,2013,2013/12/05 05:00:00+00,21,3498c726acd19b8fc48c50a86c4e21e5823c41722cb779c628640eaa96820eff,1a94d5a92f8538d3252aa65690ab70fac1a67646eb22ee31bff329b429e2baed,65,502,5D,BLACK,,MALE, rcotics,Ucsa Pwid Heroin,102,1D,398400,136900,,,,,,,,,ADULT_ARRESTS_4,,,JLAY,2023/09/27 21:18:52+00,{70B94138-C9F4-4CFF-9A72-12B071F3A78C},4
Adult Arrest,2013,2013/12/09 05:00:00+00,23,88e342ab716f545b67c467914d6999d514ec6ea34d5c2e3995a3a191f6c4a83f,5a0e432aaa38e011a7b8aa29de617d4e635acab29b3db5902368b9a7c96164dc,31,702,7D,BLACK,NOT HISPANIC,MALE,Traffic Violations,No Permit,204,2D,,,,,,,,,,,ADULT_ARRESTS_5,,,JLAY,2023/09/27 21:18:52+00,{2DCB5E7E-311F-48B8-A36B-BF1D6C2890F5},5
Adult Arrest,2013,2013/12/10 05:00:00+00,2,6770570dede172ed8349c0761e14a7562f548f504f62fdb00ac91e2f1a0eeb6f,970d9e06321aee558af58f127e100b79c3345a9512d1e9048ce69e8c0b636299,25,702,7D,BLACK,NOT HISPANIC,FEMALE,Driving/Boating While Intoxicated,Dui - Refusing Test,,,,,,,,,,,,,ADULT_ARRESTS_6,,,JLAY,2023/09/27 21:18:52+00,{BC4F95AC-7F89-4A11-98D9-E1AEF21CF193},6
Adult Arrest,2013,2013/12/11 05:00:00+00,1,a0aa54bbeea8836612d402a41232e298695a25b210866fa8aaa68178822f76a6,7fd5396e0155e7902bb23fe4a569bc2d17668f2e704b5cce5b5f5d9576de0760,47,704,7D,BLACK,,MALE,Prostitution,Pandering A Minor,703,7D,401400,131800,,,,,,,,,ADULT_ARRESTS_7,,,JLAY,2023/09/27 21:18:52+00,{3F43E045-A0B4-4E5E-8E9A-32F3D4EB9BF9},7
Adult Arrest,2013,2013/12/17 05:00:00+00,10,768f622604b6976060bc68284589345ffc9eda43163ae04fa1da0d21885afd68,47863706772d21afe181a12c76bd460d9444ddd29d40232451d778938bb9acf1,33,408,4D,WHITE,NOT HISPANIC,MALE,Assault on a Police Officer,Apo (misd),409,4D,397900,140900,,,,,,,,,ADULT_ARRESTS_8,,,JLAY,2023/09/27 21:18:52+00,{0B68DE57-5F3A-401A-82A8-5305356F196D},8
Adult Arrest,2013,2013/12/21 05:00:00+00,23,c9ff7899e78dd31da5cf2068b1a7d822ecc21a5c8e595d66b5a3f22363d91d4b,d31332d96a81f560caed0f32424da43b257bc994828b40d3270444386f4b4b60,54,604,6D,BLACK,NOT HISPANIC,FEMALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,,,,,,,207,2D,,,,,ADULT_ARRESTS_9,,,JLAY,2023/09/27 21:18:52+00,{DB0B4FC0-5202-4ED9-9FFA-E9C37CB33E6E},9
Adult Arrest,2013,2013/12/28 05:00:00+00,21,d165d0189041a246a75812c523314b7d6e1fc530ff414698ec2f1f02d5961839,6b2c5aeadae1ada6a3475f9a45997f52087d0273d0f21f3cf401a6e148be85f8,22,602,6D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive,Fugitive From Justice,604,6D,406000,134500,,,,,,,,,ADULT_ARRESTS_10,,,JLAY,2023/09/27 21:18:52+00,{3AE519E1-5BD2-4DDB-9AE9-F2A515D2616F},10
Adult Arrest,2013,2013/12/29 05:00:00+00,3,61882381377013aa44cd78464fa2faf9de06cf66021729823611c3dea23f04a5,f900b15236131a71c91ba7615ce9dc6cf85288ca97929c411c03fa5f05ce80e7,34,Out of State,Out of State,ASIAN,NOT HISPANIC,MALE,Prostitution,Solicting Prostitution,101,1D,397700,137200,,,,,,,,,ADULT_ARRESTS_11,,,JLAY,2023/09/27 21:18:52+00,{82F5DBAB-7FBB-4E2C-B677-8DF9848FDBF0},11
Adult Arrest,2013,2013/12/31 05:00:00+00,21,2506eb0393f45907ea96db2c0d42086a9fd66efc3558d688d09848c78632ceda,316f67eeca05bf7004e4733bba1fd47a9560643ab7d0751facbbc4985db6e331,25,506,5D,BLACK,NOT HISPANIC,MALE, rcotics,Ucsa Possession Marijua ,505,5D,402000,138000,,,,,,,,,ADULT_ARRESTS_12,,,JLAY,2023/09/27 21:18:52+00,{AD379162-4C38-4AF0-875A-7344FCF05BF4},12
Adult Arrest,2013,2013/06/19 04:00:00+00,8,d54cb51c6be54c03b97249526e4bf4c5c0d74597d09ae69a9981cc28735c8dbc,f6cef248c21d585b53bb6d843c28738fc9e0b95afb2685b0ee1b09b9a9fb78fd,34,704,7D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive,Fugitive From Justice,704,7D,401700,130500,138800,410800,,,38.8423,-76.9804,38.917,-76.8755,ADULT_ARRESTS_13,,,JLAY,2023/09/27 21:18:52+00,{9958EB1B-281C-4C03-A67B-822642F6BB00},13
Adult Arrest,2013,2013/01/29 05:00:00+00,15,5cbacdafae96234eeb1582448eebfaac47dd5846cfc0b628f4d3495ac5b9571a,2f984cf1d572d115670e474970a3d15fe4bc3b09c296b89ee44f9d4dd0e2f8de,53,Out of State,Out of State,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive,Fugitive From Justice,608,6D,407800,136100,136100,407800,608,6D,38.8927,-76.9101,38.8927,-76.9101,ADULT_ARRESTS_14,,,JLAY,2023/09/27 21:18:52+00,{89009FDA-70C9-43A0-99C8-49228868B55A},14
Adult Arrest,2013,2013/04/15 04:00:00+00,19,52bc145c90d4e6bafd8c2a08acbb0e4ab206938fe32643a589bc920845f888d7,5ee1bc39e38071b9bd5f363ceaf55ceb384e15099774e4b8ef615c9d055d3aef,35,602,6D,BLACK,,MALE,Traffic Violations,Reckless Driving,608,6D,407800,136000,136000,407800,608,6D,38.8918,-76.9101,38.8918,-76.9101,ADULT_ARRESTS_15,,,JLAY,2023/09/27 21:18:52+00,{6C2A4112-E391-4081-B612-3B6065E7F874},15
Adult Arrest,2013,2013/08/14 04:00:00+00,17,983c1689b03970a1e2c1a3790eb8a12e9a89c280d6b69ae18500bcf968e68c63,b88953e7d69767c9e04e955ed37d709dfed6aef3f112ea1f6862b908b62b98ed,28,105,1D,BLACK,NOT HISPANIC,MALE,Prostitution,Solicting Prostitution,608,6D,407500,136500,136500,407500,608,6D,38.8963,-76.9135,38.8963,-76.9135,ADULT_ARRESTS_16,,,JLAY,2023/09/27 21:18:52+00,{105DFF39-A734-432A-B6B1-B25CA1D69D27},16
Adult Arrest,2013,2013/08/24 04:00:00+00,1,d75b27495608cd15930c670036077e79cdcbb442b9ca47a600f65cee75058353,db0ce3e84b2bfe82d5d2e299b732657970f3af601525fc547e4e1e18c14b21cb,43,602,6D,WHITE,,FEMALE,Prostitution,Solicting Prostitution,608,6D,407500,136100,136500,407500,608,6D,38.8927,-76.9135,38.8963,-76.9135,ADULT_ARRESTS_17,,,JLAY,2023/09/27 21:18:52+00,{80FDB3EA-35E7-4A3B-BC43-4A27F234F2A5},17
Adult Arrest,2013,2013/08/24 04:00:00+00,2,ef13d64ab39f15ff0c8040ceac8e0e1ca9b32fb60c09dfc8c7e04b2acb001e03,ceb5301f1c65bf79ab2ac59a85d9a836d32a4f207acd7492d594cd40c5f7e5f3,50,608,6D,BLACK,NOT HISPANIC,FEMALE,Prostitution,Solicting Prostitution,608,6D,407500,136500,136500,407500,608,6D,38.8963,-76.9135,38.8963,-76.9135,ADULT_ARRESTS_18,,,JLAY,2023/09/27 21:18:52+00,{0C111A72-A437-479B-8DED-A38D22596F10},18
Adult Arrest,2013,2013/10/29 04:00:00+00,23,301d8e4acd6a6b17465dd74484b7fd5eb45b4c7eec170b389813f88867913a4d,654a35418c93aef454592049737959b171d9f61f2ee01c1567d991e2f0c3fd9b,21,703,7D,BLACK,NOT HISPANIC,MALE,Prostitution,Solicting Prostitution,608,6D,407500,136500,136500,407500,608,6D,38.8963,-76.9135,38.8963,-76.9135,ADULT_ARRESTS_19,,,JLAY,2023/09/27 21:18:52+00,{76BE3571-30B7-44F4-A7CE-2E65B2C5DE83},19
Adult Arrest,2013,2013/11/06 05:00:00+00,14,5565c2e066470b2c557120d2dd8af00e5a0222f07d3f13ce2960e52638af656d,680b8fa83d1f695b246670bffaaa670bfa2a9fc8fc09f2311922778444b70e35,53,608,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,608,6D,407500,136300,136300,407500,608,6D,38.8945,-76.9135,38.8945,-76.9135,ADULT_ARRESTS_20,,,JLAY,2023/09/27 21:18:52+00,{66A1C9EA-4841-4163-B52A-7B8DC2A0CCC9},20
Adult Arrest,2013,2013/11/06 05:00:00+00,14,5565c2e066470b2c557120d2dd8af00e5a0222f07d3f13ce2960e52638af656d,93fb09e2408de09e2ae641cf562e760c59b708f7721962c60a8831f4db1865fc,20,705,7D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,608,6D,407500,136300,136300,407500,608,6D,38.8945,-76.9135,38.8945,-76.9135,ADULT_ARRESTS_21,,,JLAY,2023/09/27 21:18:52+00,{33A673D3-C2A6-4E2C-A0CA-215DE31B6064},21
Adult Arrest,2013,2013/11/07 05:00:00+00,23,339af90db9b4417ff5337d90402d11e1efc05b8e5b7bb5b8e09c4f7bdb114487,a6e76c09f47401d23576f6bfe75d32fd43674de96e4ba9606bf4f029a2c09dc9,45,506,5D,BLACK,,MALE,Prostitution,Solicting Prostitution,608,6D,407500,136500,136500,407500,608,6D,38.8963,-76.9135,38.8963,-76.9135,ADULT_ARRESTS_22,,,JLAY,2023/09/27 21:18:52+00,{09B47DC7-7905-46D3-AEE0-9177A901AB38},22
Adult Arrest,2013,2013/11/07 05:00:00+00,23,5e10650dd292748783632bb1039e298541876f07f60e13b11b6affc3c850ffb5,00b197dd3097d5d094636ca6a37569aa73bf7c53305e23b214a8598632105201,29,Out of State,Out of State,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive,Failure To Appear (OAG),608,6D,407500,136500,136500,407500,608,6D,38.8963,-76.9135,38.8963,-76.9135,ADULT_ARRESTS_23,,,JLAY,2023/09/27 21:18:52+00,{8177F612-76DD-455C-9908-539DD5252326},23
Adult Arrest,2013,2013/11/07 05:00:00+00,23,f893c653c7333a42364507e00deecabcc1d39f0a9573d5926e9c5f7e6dc954da,51aa33fd0058ae4d52254ffe724714160e516d62c9c92fe52b4eab846ed4fff1,28,Out of State,Out of State,BLACK,,MALE,Prostitution,Solicting Prostitution,608,6D,407500,136500,136500,407500,608,6D,38.8963,-76.9135,38.8963,-76.9135,ADULT_ARRESTS_24,,,JLAY,2023/09/27 21:18:52+00,{6BB39D4D-4B0C-4A4A-87C8-F90D9E1DACE7},24
Adult Arrest,2013,2013/03/30 04:00:00+00,18,8455a14ab37cbd98c22e71f2aed9af95f17f4d4f50133168563ad2ac0c2175c1,dc3e13df1f1f1c76da999db56bc1bcba26b268710a63f780131854b62f686fd7,31,604,6D,BLACK,,MALE,Traffic Violations,Operating After Revocation,608,6D,407500,135800,135800,407500,608,6D,38.89,-76.9136,38.89,-76.9136,ADULT_ARRESTS_25,,,JLAY,2023/09/27 21:18:52+00,{98F78FFB-D0AE-4EF6-8113-1A7BF1B7573C},25
Adult Arrest,2013,2013/05/24 04:00:00+00,21,7a07aed90bc13e91cf1bb703cb9e84fe401fb72d1a10ea06622b8df46d76ae92,0402d61f6bd1608afd061c3b9372fdd36d773f9b6e02fa3febf592af870de62d,43,403,4D,BLACK,NOT HISPANIC,MALE, rcotics,Ucsa Poss Marijua ,608,6D,407500,135800,135800,407500,608,6D,38.89,-76.9136,38.89,-76.9136,ADULT_ARRESTS_26,,,JLAY,2023/09/27 21:18:52+00,{FC55F784-F11C-4187-9DF7-9C3B4E44B184},26
Adult Arrest,2013,2013/10/21 04:00:00+00,2,192fac1ff129b080734360849df9e461142cad67a99ff01db68dff857c11a66c,3a8eed1038c41c869b3583590601ea31c2a9018da81e4d58d9203e7249469942,34,505,5D,BLACK,NOT HISPANIC,MALE,Burglary,Burglary Two,608,6D,407500,135800,135800,407500,608,6D,38.89,-76.9136,38.89,-76.9136,ADULT_ARRESTS_27,,,JLAY,2023/09/27 21:18:52+00,{464C3E23-E6CF-4291-88CF-7789BCCC7B7F},27
Adult Arrest,2013,2013/10/22 04:00:00+00,0,650ae663506bca1acd9db757392bc530f05daf92303804e456b4576140591907,654e89f76e36e211b5ea1e7fdfe59d962ebc17096674c16491eb84af2c11cf04,33,Out of State,Out of State,BLACK,NOT HISPANIC,MALE,Driving/Boating While Intoxicated,Dui - Refusing Test,608,6D,407500,135800,135800,407500,608,6D,38.89,-76.9136,38.89,-76.9136,ADULT_ARRESTS_28,,,JLAY,2023/09/27 21:18:52+00,{049ED1FB-B4AD-4BDA-9FB2-BEF80725F0C3},28
Adult Arrest,2013,2013/01/07 05:00:00+00,17,fb6ef54ec942fa4a63e809e431ae94f8fc31e242ae72e226c549e0319852255e,be347e3e7de9e3e1db58f6d8287b124edb391de3b3bfe3c533908f8212db2212,31,602,6D,BLACK,NOT HISPANIC,FEMALE,Prostitution,"Soliciting, Lewd & Immoral Purpose",608,6D,407400,136400,136400,407400,608,6D,38.8954,-76.9147,38.8954,-76.9147,ADULT_ARRESTS_29,,,JLAY,2023/09/27 21:18:52+00,{A6862921-CBC4-4890-B561-DB6BECD15598},29
Adult Arrest,2013,2013/01/07 05:00:00+00,17,fb6ef54ec942fa4a63e809e431ae94f8fc31e242ae72e226c549e0319852255e,2dcf9c2915a8752ae0e6985a409b12e706e9e05630403b034a508c097fd47fff,28,706,7D,BLACK,,MALE,Prostitution,"Soliciting, Lewd & Immoral Purpose",608,6D,407400,136400,136400,407400,608,6D,38.8954,-76.9147,38.8954,-76.9147,ADULT_ARRESTS_30,,,JLAY,2023/09/27 21:18:52+00,{4A66B3E6-83F5-4C2D-BD35-F6D0E907617B},30
Adult Arrest,2013,2013/01/08 05:00:00+00,3,048bb370ae0ea0f14d3b9019453346292472455b355002bd72cf9e607662023a,3ea3575974cc7652a0982193ada78d610844f9920e73ed7b46d60c0f0bd81686,24,106,1D,BLACK,,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,608,6D,407400,136600,136600,407400,608,6D,38.8972,-76.9147,38.8972,-76.9147,ADULT_ARRESTS_31,,,JLAY,2023/09/27 21:18:52+00,{0B58DBDE-DCAF-42A0-A5D8-CE134C6DCFF7},31
Adult Arrest,2013,2013/01/16 05:00:00+00,20,1493d4d7317a564d7c4fc91647d755867f0b6e2bf7dd8ca1bbf91be5fb2312a3,b1f4fb15f3368ad964a89c0512e9bcc5a5dfcbb4fc5553f7b9ab97811e12d3b2,50,Out of State,Out of State,BLACK,,FEMALE, rcotics,Ucsa Pwid Other,608,6D,407400,136100,136100,407400,608,6D,38.8927,-76.9147,38.8927,-76.9147,ADULT_ARRESTS_32,,,JLAY,2023/09/27 21:18:52+00,{16218A03-F6DD-4944-ABE1-9A8590DE4CCA},32
Adult Arrest,2013,2013/01/19 05:00:00+00,1,5627582c728cc55aaa28c0a1349317f97bca2a96ade4a16fdf5f8c97d4d8f655,09a8ae7e59ec7e0456a76a83d11fe8bd439073a9581fbd562fb80b5834d75925,42,608,6D,BLACK,,MALE,Assault with a Dangerous Weapon,Assault W/i To Kill,608,6D,407400,136300,136300,407400,608,6D,38.8945,-76.9147,38.8945,-76.9147,ADULT_ARRESTS_33,,,JLAY,2023/09/27 21:18:52+00,{01E01B03-46D3-41C8-8E5B-94E59E405B7F},33
Adult Arrest,2013,2013/01/26 05:00:00+00,4,cf209229fdf7c1136847f81113b3f8d0421ba9b651c40e59c829f07ded4bea8c,a7a0fa34491b972276022399ffe5dfe4a23529da55413880b323acecb6911cb9,32,608,6D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,608,6D,407400,136100,136100,407400,608,6D,38.8927,-76.9147,38.8927,-76.9147,ADULT_ARRESTS_34,,,JLAY,2023/09/27 21:18:52+00,{692CD4BE-9AF5-49FF-840E-6097336A5189},34
Adult Arrest,2013,2013/02/05 05:00:00+00,17,6e6a5fdcc5937656106572a80a1fa66b068b544d72e6d653f19261fafb537310,937ee73ced0e38b5607e1ed3324985bd87e55821b35660eeb06235eb9a03b338,37,101,6D,BLACK,,MALE,Release Violations/Fugitive,Parole Violation,608,6D,407400,136400,136400,407400,608,6D,38.8954,-76.9147,38.8954,-76.9147,ADULT_ARRESTS_35,,,JLAY,2023/09/27 21:18:52+00,{DDDE1513-4DD4-4F29-A186-E2ACA3967D26},35
Adult Arrest,2013,2013/04/10 04:00:00+00,16,69e03ccb91c40e0050e0d5db38fad21d9e84b653275f591944b57563cc653f95,49485bbaba8665d714feb8ac25452f25f43de8ef7587fc6e04599da7d1c01ecf,22,604,6D,BLACK,NOT HISPANIC,MALE, rcotics,Ucsa Poss Marijua ,608,6D,407400,136100,136100,407400,608,6D,38.8927,-76.9147,38.8927,-76.9147,ADULT_ARRESTS_36,,,JLAY,2023/09/27 21:18:52+00,{A84C155C-1751-49DB-A361-F46E952B8739},36
Adult Arrest,2013,2013/04/18 04:00:00+00,20,804a0f894c517a087c994aa371fc49de816f834ef097dd6069bf76db4e5dec49,95d8923b8eb7740d50dd8f78416e5066778ef63a797d7e7a1fc1c714d5cdb201,24,302,3D,BLACK,NOT HISPANIC,FEMALE,Prostitution,Solicting Prostitution,608,6D,407400,136600,136600,407400,608,6D,38.8972,-76.9147,38.8972,-76.9147,ADULT_ARRESTS_37,,,JLAY,2023/09/27 21:18:52+00,{AE77BCD5-B940-4AED-80E8-BCAE617828F6},37
Adult Arrest,2013,2013/05/01 04:00:00+00,17,89232595b13fab8a09d1a4315b5a89ac19e26c76ddcedb10e801b07be5cc3a46,e35a223b6580dc827b2d1dcf4e759db4e49bcc33c36a7eb26553df66b551377f,37,Out of State,Out of State,BLACK,NOT HISPANIC,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol,608,6D,407400,136100,136100,407400,608,6D,38.8927,-76.9147,38.8927,-76.9147,ADULT_ARRESTS_38,,,JLAY,2023/09/27 21:18:52+00,{B44CCFF4-FEA6-413A-8505-9DF5B9EBD81B},38
Adult Arrest,2013,2013/05/01 04:00:00+00,17,e3dc76b07bd0dd81319a227f2232c5bea60215bbb2f7e54d327838af32220d88,ab5478a91a323ee59d59e5755d87ba1803f8e4ceacc6b8fe34bb4d15e989f1f1,31,608,6D,BLACK,,MALE, rcotics,Ucsa Pwid Marijua ,608,6D,407400,136100,136100,407400,608,6D,38.8927,-76.9147,38.8927,-76.9147,ADULT_ARRESTS_39,,,JLAY,2023/09/27 21:18:52+00,{887DA6F3-556E-425C-8624-2CF5911ED34A},39
Adult Arrest,2013,2013/05/01 04:00:00+00,17,e3dc76b07bd0dd81319a227f2232c5bea60215bbb2f7e54d327838af32220d88,6f1078820ea1963e4c4f80e49d2534cfba95cd7c9d2fc9b5712f7136adb31b4a,28,604,6D,BLACK,,MALE, rcotics,Ucsa Poss Marijua ,608,6D,407400,136100,136100,407400,608,6D,38.8927,-76.9147,38.8927,-76.9147,ADULT_ARRESTS_40,,,JLAY,2023/09/27 21:18:52+00,{AD00BE51-34BC-43C2-A080-18F5A06932AB},40
Adult Arrest,2013,2013/05/02 04:00:00+00,2,187b43e01147f3e3ca075cf754cb9bad9777f5196dcb7b1140f3c8b2bcaecb80,8a1a85529d87d4411e9c5d3aed6125309ab744a9717993d97f62184c5ff60ac0,41,702,7D,BLACK,NOT HISPANIC,FEMALE,Prostitution,Solicting Prostitution,608,6D,407400,136600,136600,407400,608,6D,38.8972,-76.9147,38.8972,-76.9147,ADULT_ARRESTS_41,,,JLAY,2023/09/27 21:18:52+00,{E11B59C8-B7B5-41E1-9639-42580E17D1E3},41
Adult Arrest,2013,2013/05/03 04:00:00+00,10,baca4da2fd62f986b00768a21292e370adc0a7730d69c03ab7d36cb358b8d507,f99641da0df23a476485cdb20b6d8d681f2f8bdc46a8ffef3c50157a1c40fc71,24,Out of State,Out of State,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,608,6D,407400,136100,136100,407400,608,6D,38.8927,-76.9147,38.8927,-76.9147,ADULT_ARRESTS_42,,,JLAY,2023/09/27 21:18:52+00,{75207711-4B7F-45C7-BC5E-5832C37B12C5},42
