series,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,558.1,620.1,612.5,640.6,666.9,729.6,758.2,757.7,747.1,713.6,684.5,636.6,611,567.6,523,506.5,504.5,494.4,475.8,463.2,469,479.3,471.8,458.6,431.9,404.5,387.1,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5
District of Columbia,1624.8,1505.3,1610.3,1921.6,2141.9,2458.2,2453.3,2832.8,2921.8,2662.6,2661.4,2469.8,2024.2,1718.5,1627.7,1507.9,1602.4,1637.9,1624.9,1369.4,1380,1508.4,1415.1,1437.7,1348.9,1326.8,1200.8,1241.8,1296.4,1242.6,1273.6,1203.5,1002.7,997.1,1045.2,999.8
