series,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,4666.4,4881.8,4963,5054,5107.1,5073.1,5140.2,4903.7,4740,4660.2,4590.5,4451,4316.5,4052.5,3743.6,3618.3,3658.1,3630.6,3591.2,3514.1,3431.5,3346.6,3276.4,3214.6,3041.3,2945.9,2905.4,2868,2733.6,2574.1,2500.5,2451.6,2362.9,2209.8,2130.6,1958.2
District of Columbia,6374.4,6834,6841.3,7993.1,8151.5,8316,8314.7,8574.2,8839.3,8422.6,9512.1,9426.9,7814.9,7117,6439.3,5768.6,6139.9,6409,5863.5,4852.8,4489.8,4653.9,4916.3,5104.6,4751.9,4761.4,4790.5,4855.7,4790.7,5175.1,4690.5,4731.2,4274.3,4379.7,4351.4,3493
